area__rucc,area__urban_influence,demo__birth_rate_per_1k,demo__death_rate_per_1k,demo__pct_adults_bachelors_or_higher,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_aged_65_years_and_older,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_below_18_years_of_age,demo__pct_female,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_excessive_drinking,health__pct_low_birthweight,health__pct_physical_inacticity,health__pop_per_dentist,health__pop_per_primary_care_physician,heart_disease_mortality_per_100k,row_id,yr
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",12.0,11.0,0.1503006012024048,0.21442885771543085,0.40380761523046094,0.23146292585170344,0.141,0.003,0.0,0.259,0.525,0.015,0.35600000000000004,0.607,Nonspecialized,0.41700000000000004,0.079,0.28300000000000003,0.069,12.0,22.71,0.392,0.18100000000000002,0.124,0.147,0.126,0.34600000000000003,2309.0,1390.0,386,3645,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",10.0,16.0,0.18492462311557792,0.1155778894472362,0.3768844221105528,0.3226130653266332,0.292,0.004,0.0,0.17800000000000002,0.494,0.003,0.009000000000000001,0.9790000000000001,Farm-dependent,0.49200000000000005,0.021,0.13699999999999998,0.081,10.0,14.82,0.309,0.158,0.111,0.183,0.1,0.282,2289.0,1350.0,243,3646,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,11.0,11.0,0.16815920398009954,0.1283582089552239,0.4497512437810946,0.2537313432835821,0.163,0.005,0.011000000000000001,0.253,0.511,0.017,0.001,0.966,Nonspecialized,0.474,0.073,0.171,0.076,14.0,9.06,0.322,0.266,0.09,0.239,0.064,0.292,9670.0,9580.0,280,3650,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,9.0,14.0,0.21825396825396826,0.1130952380952381,0.3442460317460317,0.3244047619047619,0.22699999999999998,0.009000000000000001,0.015,0.17800000000000002,0.515,0.11599999999999999,0.092,0.736,Nonspecialized,0.46799999999999997,0.051,0.245,0.113,11.0,18.24,0.26899999999999996,0.226,0.136,0.165,0.084,0.268,2249.0,1510.0,261,3651,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,10.0,14.0,0.1106679960119641,0.18444666001994012,0.4546360917248255,0.25024925224327016,0.256,0.011000000000000001,0.004,0.203,0.49200000000000005,0.02,0.011000000000000001,0.9440000000000001,Farm-dependent,0.415,0.068,0.237,0.10400000000000001,9.0,35.19,0.33899999999999997,0.205,0.12,0.147,0.07400000000000001,0.34600000000000003,4839.0,1599.0,323,3654,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",9.0,13.0,0.20323559150657228,0.1607684529828109,0.3377148634984833,0.29828109201213343,0.27399999999999997,0.006,0.0,0.18100000000000002,0.506,0.006,0.0,0.972,Farm-dependent,0.522,0.04,0.147,0.085,10.0,45.81,0.293,0.166,0.106,0.244,0.08199999999999999,0.31,1460.0,2110.0,247,3658,b
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,11.0,9.0,0.211519364448858,0.08937437934458788,0.3912611717974181,0.307845084409136,0.16699999999999998,0.005,0.009000000000000001,0.217,0.506,0.053,0.01,0.9129999999999999,Manufacturing-dependent,0.562,0.038,0.128,0.051,12.0,11.7,0.287,0.192,0.081,0.222,0.065,0.231,1590.0,1609.0,235,3659,a
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,10.0,8.0,0.19312436804853386,0.07886754297269967,0.3751263902932254,0.3528816986855409,0.162,0.005,0.013999999999999999,0.233,0.49700000000000005,0.025,0.0,0.9540000000000001,Manufacturing-dependent,0.513,0.051,0.157,0.047,12.0,17.76,0.374,0.209,0.095,0.177,0.06,0.263,3719.0,2550.0,256,3660,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,13.0,7.0,0.29581673306772904,0.09661354581673308,0.26892430278884466,0.3386454183266933,0.121,0.001,0.001,0.255,0.519,0.02,0.187,0.7609999999999999,Nonspecialized,0.479,0.045,0.192,0.07400000000000001,12.0,20.16,0.337,0.20199999999999999,0.121,0.133,0.107,0.299,1849.0,1430.0,287,3661,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",10.0,12.0,0.09292929292929293,0.2838383838383839,0.3696969696969697,0.2535353535353536,0.168,0.002,0.006,0.22,0.499,0.032,0.019,0.9470000000000001,Manufacturing-dependent,0.355,0.096,0.243,0.06,13.0,19.75,0.316,0.282,0.132,0.147,0.07200000000000001,0.396,3520.0,1610.0,315,3664,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",14.0,12.0,0.1417004048582996,0.2520242914979757,0.4210526315789473,0.1852226720647773,0.17300000000000001,0.001,0.0,0.217,0.502,0.032,0.027000000000000003,0.9490000000000001,Farm-dependent,0.436,0.040999999999999995,0.258,0.086,14.0,35.28,0.348,0.254,0.13,0.147,0.086,0.278,1779.0,2160.0,442,3665,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",12.0,10.0,0.1286727456940223,0.2087132725430597,0.3363728470111449,0.32624113475177297,0.196,0.001,0.0,0.231,0.511,0.016,0.302,0.664,Nonspecialized,0.451,0.063,0.233,0.091,12.0,23.93,0.34600000000000003,0.153,0.145,0.109,0.131,0.34299999999999997,2789.0,2779.0,304,3666,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",11.0,12.0,0.14572864321608042,0.1989949748743719,0.3628140703517588,0.29246231155778896,0.192,0.002,0.013000000000000001,0.207,0.498,0.03,0.499,0.47,Nonspecialized,0.384,0.083,0.259,0.096,12.0,31.42,0.379,0.217,0.156,0.125,0.11900000000000001,0.302,3599.0,2039.0,291,3669,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",9.0,9.0,0.14885114885114886,0.11588411588411587,0.4105894105894105,0.3246753246753247,0.182,0.012,0.013999999999999999,0.205,0.41,0.11,0.057,0.8170000000000001,Federal/State government-dependent,0.41200000000000003,0.038,0.17800000000000002,0.09,9.0,32.98,0.302,0.179,0.09699999999999999,0.213,0.049,0.317,5139.0,2569.0,250,3670,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",8.0,17.0,0.13786213786213788,0.16883116883116886,0.3776223776223777,0.3156843156843157,0.226,0.004,0.016,0.191,0.511,0.033,0.22899999999999998,0.716,Nonspecialized,0.444,0.06,0.297,0.163,11.0,37.21,0.313,0.35700000000000004,0.14,0.147,0.09699999999999999,0.332,10490.0,1350.0,327,3674,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",11.0,11.0,0.2154915590863952,0.12015888778550148,0.3862959285004965,0.27805362462760674,0.245,0.0,0.0,0.168,0.505,0.013999999999999999,0.057,0.922,Recreation,0.565,0.055999999999999994,0.196,0.084,13.0,14.82,0.294,0.205,0.11599999999999999,0.147,0.083,0.27,4609.0,2320.0,322,3676,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,10.0,9.0,0.4781281790437436,0.05391658189216684,0.20854526958290945,0.2594099694811801,0.223,0.0,0.028999999999999998,0.214,0.515,0.049,0.141,0.768,Recreation,0.474,0.040999999999999995,0.141,0.055,12.0,7.2799999999999985,0.242,0.09300000000000001,0.10400000000000001,0.092,0.06,0.19699999999999998,970.0,720.0,183,3677,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",10.0,14.0,0.215,0.096,0.43,0.259,0.201,0.067,0.0,0.252,0.518,0.061,0.003,0.843,Mining-dependent,0.506,0.040999999999999995,0.253,0.135,10.0,71.18,0.29100000000000004,0.203,0.134,0.147,0.062,0.313,4840.0,4780.0,422,3680,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,14.0,7.0,0.1379657603222558,0.1943605236656596,0.391742195367573,0.2759315206445116,0.11900000000000001,0.025,0.039,0.26899999999999996,0.495,0.063,0.205,0.6629999999999999,Nonspecialized,0.444,0.07200000000000001,0.237,0.051,12.0,14.52,0.34600000000000003,0.231,0.099,0.17800000000000002,0.071,0.325,3919.0,3410.0,283,3681,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,12.0,12.0,0.1638361638361638,0.19980019980019975,0.3776223776223776,0.2587412587412587,0.17600000000000002,0.006,0.0,0.23800000000000002,0.507,0.19,0.213,0.58,Mining-dependent,0.433,0.047,0.321,0.163,9.0,50.88,0.313,0.205,0.11599999999999999,0.147,0.08199999999999999,0.272,16729.0,16739.0,330,3682,b
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,12.0,9.0,0.2094662638469285,0.12084592145015105,0.36455186304128906,0.30513595166163143,0.15,0.002,0.002,0.214,0.514,0.011000000000000001,0.037000000000000005,0.9209999999999999,Nonspecialized,0.519,0.045,0.14300000000000002,0.043,10.0,9.61,0.314,0.188,0.099,0.163,0.07,0.249,2040.0,1260.0,228,3683,b
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,11.0,8.0,0.213,0.09000000000000001,0.35400000000000004,0.3430000000000001,0.16,0.006,0.013999999999999999,0.252,0.501,0.057,0.0,0.9209999999999999,Manufacturing-dependent,0.5589999999999999,0.052000000000000005,0.106,0.061,13.0,9.28,0.293,0.139,0.078,0.18100000000000002,0.057999999999999996,0.21,3469.0,9219.0,204,3684,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",14.0,11.0,0.13537549407114624,0.20454545454545453,0.4268774703557312,0.233201581027668,0.127,0.45,0.012,0.27,0.501,0.053,0.0,0.42,Manufacturing-dependent,0.359,0.085,0.33899999999999997,0.11900000000000001,11.0,27.29,0.358,0.301,0.149,0.10300000000000001,0.094,0.32299999999999995,5589.0,2259.0,365,3689,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",16.0,8.0,0.07707707707707709,0.19419419419419426,0.3753753753753754,0.3533533533533534,0.135,0.055,0.009000000000000001,0.261,0.489,0.217,0.015,0.722,Mining-dependent,0.569,0.068,0.21600000000000003,0.158,13.0,43.85,0.27,0.175,0.08199999999999999,0.16699999999999998,0.08,0.24100000000000002,5949.0,5839.0,284,3691,b
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,12.0,11.0,0.10121457489878544,0.2257085020242915,0.3694331983805668,0.3036437246963563,0.158,0.006999999999999999,0.004,0.242,0.532,0.037000000000000005,0.578,0.371,Nonspecialized,0.419,0.11,0.239,0.062,12.0,18.82,0.368,0.205,0.14800000000000002,0.147,0.13,0.28600000000000003,4780.0,3729.0,339,3693,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,13.0,10.0,0.16241062308478038,0.06332992849846783,0.3003064351378958,0.47395301327885603,0.19399999999999998,0.0,0.001,0.214,0.48,0.018000000000000002,0.002,0.9570000000000001,Farm-dependent,0.519,0.032,0.125,0.07200000000000001,10.0,14.82,0.282,0.247,0.099,0.242,0.063,0.281,2600.0,1350.0,222,3696,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,12.0,12.0,0.13741223671013042,0.15145436308926782,0.42527582748244735,0.2858575727181545,0.165,0.004,0.006,0.228,0.512,0.01,0.01,0.9590000000000001,Nonspecialized,0.478,0.063,0.182,0.068,14.0,10.29,0.303,0.298,0.111,0.136,0.084,0.297,2120.0,1990.0,309,3697,b
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,9.0,11.0,0.3493493493493493,0.07907907907907907,0.25925925925925924,0.3123123123123123,0.20199999999999999,0.002,0.032,0.20800000000000002,0.527,0.024,0.059000000000000004,0.873,Nonspecialized,0.514,0.047,0.133,0.059000000000000004,13.0,8.39,0.28300000000000003,0.18100000000000002,0.11599999999999999,0.121,0.085,0.26,1239.0,820.0,238,3698,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,13.0,9.0,0.1801980198019802,0.16633663366336635,0.4396039603960396,0.21386138613861386,0.14,0.011000000000000001,0.01,0.248,0.45899999999999996,0.035,0.04,0.899,Nonspecialized,0.467,0.055999999999999994,0.222,0.105,10.0,18.33,0.311,0.205,0.10800000000000001,0.147,0.07,0.27899999999999997,3930.0,3119.0,307,3700,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",10.0,13.0,0.16482412060301507,0.11658291457286432,0.4231155778894472,0.2954773869346733,0.242,0.04,0.0,0.198,0.48700000000000004,0.021,0.004,0.91,Nonspecialized,0.41,0.094,0.32799999999999996,0.192,11.0,39.36,0.27,0.221,0.106,0.162,0.07200000000000001,0.265,2889.0,1630.0,250,3701,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",14.0,10.0,0.1155778894472362,0.18391959798994975,0.3899497487437186,0.3105527638190955,0.157,0.0,0.002,0.248,0.508,0.057,0.107,0.8270000000000001,Nonspecialized,0.374,0.071,0.28800000000000003,0.086,12.0,22.74,0.317,0.29600000000000004,0.126,0.129,0.102,0.35200000000000004,6340.0,6339.0,327,3703,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",15.0,10.0,0.1505483549351944,0.07477567298105682,0.3758723828514456,0.3988035892323031,0.237,0.008,0.001,0.209,0.503,0.028999999999999998,0.002,0.95,Farm-dependent,0.461,0.037000000000000005,0.172,0.08800000000000001,13.0,14.82,0.325,0.205,0.09699999999999999,0.136,0.065,0.293,1609.0,1350.0,203,3705,a
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",11.0,12.0,0.14271653543307086,0.16240157480314962,0.4242125984251968,0.2706692913385827,0.18,0.079,0.006999999999999999,0.245,0.508,0.138,0.027000000000000003,0.73,Nonspecialized,0.609,0.034,0.282,0.128,10.0,29.03,0.324,0.317,0.122,0.217,0.083,0.34,9739.0,2379.0,327,3706,a
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,10.0,11.0,0.25271470878578484,0.0918065153010859,0.3484698914116486,0.3070088845014808,0.161,0.006999999999999999,0.009000000000000001,0.204,0.517,0.01,0.003,0.96,Federal/State government-dependent,0.521,0.043,0.136,0.034,10.0,13.3,0.305,0.191,0.111,0.16399999999999998,0.063,0.21600000000000003,1419.0,810.0,234,3707,a
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,10.0,9.0,0.2905811623246493,0.08917835671342685,0.2865731462925851,0.3336673346693387,0.13699999999999998,0.006999999999999999,0.025,0.20600000000000002,0.516,0.044000000000000004,0.07,0.8490000000000001,Nonspecialized,0.507,0.046,0.109,0.036000000000000004,11.0,7.82,0.256,0.191,0.085,0.21899999999999997,0.07400000000000001,0.225,2350.0,2019.0,288,3708,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,11.0,13.0,0.12039800995024875,0.17213930348258707,0.4208955223880597,0.2865671641791045,0.162,0.0,0.0,0.24,0.512,0.031,0.0,0.9520000000000001,Nonspecialized,0.442,0.08199999999999999,0.218,0.083,13.0,34.27,0.349,0.33299999999999996,0.121,0.19899999999999998,0.079,0.38,11609.0,2889.0,351,3709,b
"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,13.0,12.0,0.15501519756838905,0.14994934143870312,0.40324214792299895,0.29179331306990874,0.16699999999999998,0.005,0.0,0.231,0.51,0.006,0.071,0.89,Nonspecialized,0.425,0.057,0.204,0.057999999999999996,14.0,19.51,0.369,0.237,0.126,0.094,0.09,0.322,2109.0,969.0,363,3710,a
"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,9.0,14.0,0.26485397784491443,0.11782477341389727,0.3041289023162135,0.31319234642497484,0.293,0.0,0.017,0.177,0.522,0.114,0.077,0.7659999999999999,Recreation,0.414,0.073,0.28800000000000003,0.122,11.0,15.05,0.235,0.184,0.11599999999999999,0.19899999999999998,0.07400000000000001,0.242,1629.0,1509.0,206,3711,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",15.0,10.0,0.2795591182364729,0.11422845691382764,0.33867735470941884,0.2675350701402805,0.17,0.027999999999999997,0.012,0.198,0.47100000000000003,0.062,0.039,0.8440000000000001,Mining-dependent,0.581,0.032,0.196,0.091,11.0,19.71,0.318,0.145,0.10300000000000001,0.158,0.087,0.32299999999999995,2260.0,1099.0,381,3712,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,15.0,7.0,0.1955420466058764,0.09219858156028367,0.37386018237082064,0.3383991894630192,0.092,0.018000000000000002,0.0,0.301,0.493,0.086,0.0,0.892,Mining-dependent,0.475,0.05,0.20600000000000002,0.076,12.0,23.01,0.29600000000000004,0.184,0.075,0.133,0.081,0.261,1510.0,2619.0,265,3716,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,12.0,11.0,0.1962151394422311,0.1703187250996016,0.3535856573705179,0.27988047808764943,0.16399999999999998,0.005,0.017,0.225,0.539,0.009000000000000001,0.621,0.34600000000000003,Nonspecialized,0.425,0.10800000000000001,0.27899999999999997,0.081,13.0,41.3,0.405,0.215,0.158,0.111,0.135,0.29100000000000004,3379.0,2040.0,306,3719,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,13.0,13.0,0.17365269461077842,0.19161676646706588,0.34331337325349304,0.29141716566866266,0.154,0.008,0.006,0.268,0.53,0.015,0.516,0.45399999999999996,Nonspecialized,0.37,0.07200000000000001,0.266,0.062,11.0,28.73,0.381,0.285,0.156,0.10300000000000001,0.147,0.335,2100.0,1999.0,363,3720,a
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,12.0,12.0,0.16765873015873015,0.10615079365079363,0.503968253968254,0.22222222222222224,0.207,0.008,0.0,0.226,0.505,0.012,0.022000000000000002,0.958,Farm-dependent,0.529,0.076,0.19399999999999998,0.076,9.0,32.71,0.317,0.21,0.114,0.147,0.085,0.285,2289.0,3080.0,347,3724,b
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",15.0,15.0,0.2647943831494483,0.13039117352056168,0.3239719157472417,0.28084252758274825,0.243,0.009000000000000001,0.006,0.24600000000000002,0.502,0.015,0.004,0.9590000000000001,Farm-dependent,0.506,0.024,0.162,0.076,12.0,14.82,0.295,0.109,0.092,0.177,0.052000000000000005,0.29,2669.0,900.0,237,3729,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,11.0,12.0,0.1691842900302115,0.09063444108761327,0.36555891238670696,0.37462235649546827,0.193,0.003,0.006,0.226,0.512,0.027000000000000003,0.096,0.8440000000000001,Manufacturing-dependent,0.466,0.068,0.163,0.037000000000000005,12.0,11.59,0.266,0.28600000000000003,0.11199999999999999,0.22899999999999998,0.087,0.268,1790.0,2229.0,232,3732,a
"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",11.0,7.0,0.13399014778325122,0.14088669950738913,0.40394088669950734,0.32118226600985217,0.068,0.7120000000000001,0.006999999999999999,0.363,0.495,0.036000000000000004,0.002,0.231,Farm-dependent,0.36,0.059000000000000004,0.287,0.09699999999999999,10.0,14.82,0.446,0.321,0.139,0.235,0.066,0.294,1609.0,1350.0,210,3736,a
"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,12.0,10.0,0.1248761149653122,0.2338949454905848,0.3726461843409317,0.2685827552031715,0.154,0.006,0.001,0.23199999999999998,0.506,0.021,0.013000000000000001,0.972,Nonspecialized,0.39,0.061,0.23399999999999999,0.055,13.0,22.95,0.32899999999999996,0.302,0.122,0.10099999999999999,0.087,0.318,2580.0,2199.0,332,3737,a
Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,10.0,8.0,0.17196819085487075,0.1401590457256461,0.4105367793240556,0.2773359840954275,0.138,0.0,0.017,0.213,0.45899999999999996,0.008,0.071,0.9009999999999999,Nonspecialized,0.461,0.044000000000000004,0.151,0.06,13.0,14.3,0.311,0.265,0.09699999999999999,0.17600000000000002,0.076,0.314,4320.0,1950.0,261,3738,a
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,10.0,12.0,0.19678714859437751,0.11144578313253012,0.44779116465863456,0.24397590361445784,0.19399999999999998,0.0,0.006,0.20800000000000002,0.518,0.02,0.040999999999999995,0.92,Nonspecialized,0.48700000000000004,0.057999999999999996,0.151,0.065,14.0,12.72,0.27699999999999997,0.21,0.099,0.11,0.095,0.305,1909.0,2100.0,275,3741,b
"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",7.0,16.0,0.21386138613861386,0.07524752475247523,0.3465346534653465,0.3643564356435644,0.278,0.006,0.005,0.16399999999999998,0.507,0.0,0.004,0.975,Manufacturing-dependent,0.446,0.08900000000000001,0.145,0.061,11.0,14.82,0.294,0.19399999999999998,0.121,0.298,0.08199999999999999,0.23199999999999998,3010.0,1960.0,252,3742,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,13.0,13.0,0.13827655310621242,0.21142284569138275,0.42985971943887774,0.22044088176352705,0.16699999999999998,0.001,0.015,0.221,0.5,0.07400000000000001,0.013999999999999999,0.897,Manufacturing-dependent,0.382,0.062,0.245,0.066,14.0,24.27,0.32,0.245,0.127,0.147,0.092,0.389,4789.0,1889.0,361,3745,a
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",12.0,13.0,0.16151545363908276,0.15952143569292127,0.3898305084745763,0.2891326021934197,0.16699999999999998,0.015,0.0,0.24100000000000002,0.526,0.022000000000000002,0.195,0.778,Nonspecialized,0.429,0.091,0.209,0.062,14.0,26.41,0.365,0.309,0.115,0.102,0.106,0.374,3160.0,1719.0,380,3746,b
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,10.0,14.0,0.1873111782477341,0.1711983887210473,0.3746223564954682,0.26686807653575023,0.29100000000000004,0.006,0.0,0.192,0.503,0.028999999999999998,0.008,0.943,Nonspecialized,0.391,0.075,0.221,0.051,14.0,20.88,0.261,0.168,0.141,0.043,0.09,0.285,3379.0,1499.0,252,3748,a
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,9.0,3.0,0.5015166835187058,0.032355915065722954,0.20930232558139533,0.256825075834176,0.11,0.008,0.012,0.203,0.467,0.076,0.002,0.9059999999999999,Recreation,0.59,0.039,0.18,0.091,13.0,14.26,0.14800000000000002,0.085,0.032,0.276,0.092,0.109,1060.0,969.0,155,3752,a
"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,15.0,9.0,0.20080726538849647,0.1220988900100908,0.3067608476286579,0.3703329969727547,0.145,0.02,0.006999999999999999,0.258,0.499,0.141,0.006999999999999999,0.8290000000000001,Manufacturing-dependent,0.529,0.023,0.177,0.069,11.0,16.74,0.298,0.142,0.079,0.23199999999999998,0.064,0.242,2209.0,2169.0,213,3754,b
"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",15.0,13.0,0.13576494427558258,0.18642350557244172,0.4164133738601824,0.2613981762917933,0.168,0.165,0.0,0.248,0.501,0.05,0.09,0.642,Nonspecialized,0.428,0.083,0.31,0.11599999999999999,11.0,43.08,0.358,0.22899999999999998,0.12,0.092,0.078,0.366,3729.0,2070.0,382,3757,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",12.0,12.0,0.11935807422266802,0.26278836509528586,0.3911735205616851,0.2266800401203611,0.146,0.024,0.0,0.24600000000000002,0.484,0.043,0.47600000000000003,0.46399999999999997,Manufacturing-dependent,0.38799999999999996,0.075,0.26899999999999996,0.071,12.0,24.84,0.32,0.17300000000000001,0.126,0.147,0.107,0.315,5760.0,1919.0,337,3763,a
"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,14.0,6.0,0.1444557477110885,0.1190233977619532,0.3021363173957274,0.4343845371312309,0.08900000000000001,0.016,0.025,0.255,0.502,0.18100000000000002,0.153,0.601,Federal/State government-dependent,0.322,0.05,0.23600000000000002,0.099,9.0,11.03,0.315,0.16,0.083,0.147,0.073,0.243,5439.0,4820.0,284,3766,a
"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Noncore adjacent to a large metro area,10.0,9.0,0.22699999999999998,0.13699999999999998,0.342,0.294,0.159,0.011000000000000001,0.017,0.218,0.48700000000000004,0.135,0.078,0.75,Recreation,0.442,0.067,0.17600000000000002,0.059000000000000004,12.0,16.26,0.298,0.259,0.105,0.204,0.09699999999999999,0.27,2679.0,2130.0,294,3768,b
"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",11.0,12.0,0.20080726538849647,0.11907164480322904,0.33905146316851664,0.3410696266397578,0.196,0.004,0.003,0.22399999999999998,0.484,0.032,0.03,0.932,Nonspecialized,0.42,0.045,0.135,0.039,8.0,17.59,0.324,0.161,0.115,0.146,0.055999999999999994,0.27,1219.0,1449.0,265,3770,b
